CustomerID,Gender,Age,TenureMonths,MonthlyCharges,TotalCharges,InternetService,ContractType,PaymentMethod,SupportTickets,LatePayments,Churn
CUST100042,Female,36,27,118.62,3175.47,DSL,One Year,UPI,2,3,No
CUST100043,Female,25,70,60.6,4451.96,DSL,Two Year,Credit Card,4,2,Yes
CUST100044,Female,43,44,53.35,2119.52,DSL,Month-to-Month,Bank Transfer,2,0,No
CUST100045,Female,57,28,79.17,2129.07,DSL,One Year,Electronic Check,0,1,No
CUST100046,Female,24,45,99.94,4181.36,Fiber Optic,Month-to-Month,Electronic Check,2,3,Yes
CUST100047,Male,47,17,98.94,1471.54,Fiber Optic,Month-to-Month,Bank Transfer,3,2,No
CUST100048,Female,24,40,32.27,1240.63,No Internet,Month-to-Month,UPI,4,2,No
CUST100049,Female,20,3,132.35,613.9,Fiber Optic,Month-to-Month,Electronic Check,1,2,Yes
CUST100050,Male,18,66,55.77,3809.18,DSL,One Year,UPI,0,2,No
CUST100051,Female,53,46,67.05,3282.21,No Internet,Month-to-Month,Bank Transfer,1,2,No
CUST100052,Male,42,30,47.92,1570.25,DSL,One Year,Credit Card,2,1,No
CUST100053,Female,54,69,155.95,10568.4,No Internet,Two Year,UPI,0,0,No
CUST100054,Male,18,9,82.26,1079.29,DSL,Month-to-Month,Credit Card,1,3,Yes
CUST100055,Female,32,11,49.47,692.56,Fiber Optic,One Year,Credit Card,5,1,No
CUST100056,Female,54,69,100.92,7322.83,DSL,Month-to-Month,Bank Transfer,2,0,No
CUST100057,Male,30,66,98.07,6807.39,Fiber Optic,Month-to-Month,Bank Transfer,2,2,No
CUST100058,Male,57,31,69.37,2132.19,Fiber Optic,One Year,Credit Card,0,2,Yes
CUST100059,Male,25,33,100.22,3209.45,Fiber Optic,One Year,Credit Card,6,2,No
CUST100060,Male,22,39,50.24,1512.43,Fiber Optic,Month-to-Month,Electronic Check,1,1,Yes
CUST100061,Male,26,46,60.21,2802.91,Fiber Optic,Two Year,Electronic Check,2,4,No
CUST100062,Male,18,37,20.0,732.14,Fiber Optic,Month-to-Month,Bank Transfer,2,2,No
CUST100063,Male,53,60,35.28,1988.98,DSL,Two Year,UPI,1,2,No
CUST100064,Male,52,31,129.23,3906.34,DSL,Month-to-Month,Credit Card,3,2,No
CUST100065,Female,19,11,124.24,1470.47,Fiber Optic,Month-to-Month,UPI,4,2,Yes
CUST100066,Female,57,2,76.97,100.0,Fiber Optic,Month-to-Month,Credit Card,5,1,Yes
CUST100067,Male,40,27,124.89,3628.19,DSL,Month-to-Month,Bank Transfer,6,2,No
CUST100068,Female,26,2,70.2,315.37,DSL,One Year,UPI,6,2,No
CUST100069,Female,51,21,67.7,1350.38,No Internet,One Year,Bank Transfer,3,1,No
CUST100070,Female,63,58,76.7,4433.4,Fiber Optic,Month-to-Month,Credit Card,4,1,Yes
CUST100071,Female,31,5,71.25,419.76,No Internet,Month-to-Month,Bank Transfer,3,2,Yes
CUST100072,Male,21,52,68.54,3727.07,DSL,Month-to-Month,UPI,1,0,No
CUST100073,Female,47,45,109.3,5324.26,DSL,Month-to-Month,Electronic Check,1,2,Yes
CUST100074,Male,48,20,79.5,1484.77,Fiber Optic,One Year,Bank Transfer,3,1,No
CUST100075,Female,55,61,96.37,6151.36,Fiber Optic,One Year,UPI,6,0,Yes
CUST100076,Female,28,38,105.94,3981.4,Fiber Optic,Two Year,Bank Transfer,5,1,No
CUST100077,Female,52,20,86.65,1653.41,Fiber Optic,Month-to-Month,Bank Transfer,2,2,No
CUST100078,Male,25,25,45.89,1095.65,DSL,Month-to-Month,Electronic Check,1,2,No
CUST100079,Female,20,2,34.41,285.41,DSL,One Year,UPI,6,1,Yes
CUST100080,Male,31,32,79.46,2428.3,DSL,Two Year,UPI,0,2,No
CUST100081,Female,30,26,69.86,1837.7,DSL,One Year,UPI,4,2,No
CUST100082,Male,62,70,77.62,5330.79,DSL,Month-to-Month,Credit Card,2,1,Yes
CUST100083,Female,49,41,74.52,2969.62,Fiber Optic,Month-to-Month,Bank Transfer,3,2,No
CUST100084,Male,51,67,152.51,10488.31,No Internet,One Year,Electronic Check,5,0,No
CUST100085,Male,62,1,35.09,100.0,DSL,One Year,UPI,2,1,No
CUST100086,Female,36,51,20.0,886.78,Fiber Optic,Two Year,Electronic Check,1,1,Yes
CUST100087,Male,55,5,84.97,338.04,Fiber Optic,Month-to-Month,Credit Card,1,2,Yes
CUST100088,Female,33,13,63.71,884.1,DSL,Two Year,Credit Card,6,2,No
CUST100089,Female,19,19,84.48,1594.67,DSL,Month-to-Month,Electronic Check,3,2,No
CUST100090,Female,57,12,92.52,1110.73,Fiber Optic,Two Year,UPI,2,2,No
CUST100091,Female,34,48,113.52,5389.19,DSL,Two Year,Electronic Check,2,1,No
CUST100092,Female,51,25,29.78,953.31,DSL,One Year,UPI,1,2,No
CUST100093,Female,59,57,58.3,3438.4,DSL,One Year,UPI,3,3,No
CUST100094,Female,33,35,87.86,3030.17,Fiber Optic,Month-to-Month,Credit Card,6,2,Yes
CUST100095,Female,55,5,98.11,516.54,Fiber Optic,Month-to-Month,Electronic Check,3,2,Yes
CUST100096,Female,19,22,140.8,2934.66,No Internet,Month-to-Month,Credit Card,2,3,No
CUST100097,Female,19,57,103.67,5894.44,No Internet,Month-to-Month,Bank Transfer,3,1,No
CUST100098,Female,43,47,73.3,3307.04,Fiber Optic,Month-to-Month,Credit Card,1,1,No
CUST100099,Male,30,54,48.29,2646.78,Fiber Optic,Month-to-Month,UPI,3,0,No
CUST100100,Male,64,3,58.07,153.52,Fiber Optic,Two Year,Electronic Check,2,1,No
CUST100101,Female,48,53,57.22,2984.48,Fiber Optic,Month-to-Month,Bank Transfer,1,3,No
CUST100102,Female,51,31,94.66,2963.04,DSL,One Year,Bank Transfer,4,1,No
CUST100103,Female,56,69,82.71,5766.71,No Internet,One Year,Bank Transfer,4,0,Yes
CUST100104,Female,20,33,35.29,1382.64,Fiber Optic,Month-to-Month,Bank Transfer,6,0,Yes
CUST100105,Female,25,50,61.92,3251.71,Fiber Optic,Month-to-Month,Electronic Check,2,0,No
CUST100106,Female,40,16,101.33,1811.5,No Internet,Month-to-Month,UPI,3,2,Yes
CUST100107,Female,31,39,85.55,3266.05,Fiber Optic,One Year,Bank Transfer,1,3,No
CUST100108,Female,44,46,92.06,4292.3,No Internet,One Year,UPI,3,0,No
CUST100109,Male,46,47,86.49,4412.01,DSL,Month-to-Month,Credit Card,7,0,No
CUST100110,Female,56,44,123.79,5427.39,No Internet,Two Year,UPI,3,1,No
CUST100111,Male,56,9,82.08,764.59,Fiber Optic,Month-to-Month,Bank Transfer,4,1,Yes
CUST100112,Female,18,50,63.42,3199.54,Fiber Optic,One Year,Credit Card,6,1,Yes
CUST100113,Female,34,60,47.53,2831.01,Fiber Optic,Month-to-Month,Credit Card,3,1,Yes
CUST100114,Male,58,15,82.49,1494.98,Fiber Optic,One Year,Credit Card,2,4,No
CUST100115,Female,47,36,20.0,631.58,Fiber Optic,Two Year,Bank Transfer,2,1,No
CUST100116,Male,30,63,69.47,4592.6,No Internet,One Year,UPI,1,4,Yes
CUST100117,Female,38,69,68.82,4902.48,DSL,Month-to-Month,Electronic Check,1,1,No
CUST100118,Female,36,41,34.07,1384.71,DSL,Month-to-Month,UPI,3,1,No
CUST100119,Male,36,24,47.15,1049.39,Fiber Optic,Two Year,Bank Transfer,0,2,No
CUST100120,Female,42,49,99.29,4858.67,DSL,Month-to-Month,Bank Transfer,3,2,No
CUST100121,Male,39,18,81.92,1706.4,DSL,Month-to-Month,Credit Card,2,3,Yes
CUST100122,Female,48,7,78.05,761.73,Fiber Optic,One Year,UPI,1,1,No
CUST100123,Male,34,4,84.19,496.75,No Internet,Month-to-Month,Bank Transfer,5,1,Yes
CUST100124,Male,40,69,77.78,5349.53,Fiber Optic,Month-to-Month,Bank Transfer,3,2,Yes
CUST100125,Female,49,60,112.29,6746.11,Fiber Optic,Two Year,Electronic Check,3,2,No
CUST100126,Female,27,55,78.7,4453.76,Fiber Optic,Month-to-Month,UPI,5,5,Yes
CUST100127,Male,27,16,31.25,452.63,DSL,Month-to-Month,Credit Card,1,2,No
CUST100128,Female,53,29,123.9,3760.62,DSL,One Year,Credit Card,6,0,No
CUST100129,Female,25,23,86.11,2010.87,Fiber Optic,Two Year,Credit Card,3,2,No
CUST100130,Female,37,14,57.32,1005.27,Fiber Optic,Month-to-Month,UPI,0,3,No
CUST100131,Male,49,49,37.4,1549.72,Fiber Optic,One Year,Bank Transfer,4,0,No
CUST100132,Male,31,33,86.88,2745.61,Fiber Optic,One Year,Bank Transfer,3,0,No
CUST100133,Male,45,25,71.48,1720.41,Fiber Optic,Month-to-Month,Electronic Check,2,3,No
CUST100134,Male,63,21,122.22,2649.12,Fiber Optic,Month-to-Month,Electronic Check,0,1,No
CUST100135,Male,41,17,64.62,1023.37,Fiber Optic,Month-to-Month,Bank Transfer,4,0,No
CUST100136,Male,32,23,49.88,1583.28,No Internet,One Year,Bank Transfer,5,1,No
CUST100137,Male,39,57,101.87,5562.85,DSL,Two Year,UPI,4,1,No
CUST100138,Male,47,58,102.76,6164.01,DSL,Month-to-Month,Electronic Check,1,0,Yes
CUST100139,Male,21,14,80.06,1366.88,Fiber Optic,Two Year,Credit Card,2,1,No
CUST100140,Female,30,20,95.29,2005.46,Fiber Optic,One Year,Credit Card,3,0,No
CUST100141,Male,40,30,73.87,2152.99,Fiber Optic,Month-to-Month,Credit Card,2,1,No
CUST100142,Female,25,19,82.02,1554.54,Fiber Optic,One Year,Credit Card,3,3,No
CUST100143,Female,35,53,109.95,5990.76,Fiber Optic,Month-to-Month,Bank Transfer,2,2,Yes
CUST100144,Female,29,56,93.76,4930.85,No Internet,Two Year,Bank Transfer,3,2,No
CUST100145,Male,48,23,69.92,1481.3,No Internet,One Year,UPI,0,1,No
CUST100146,Male,31,62,115.57,7057.82,Fiber Optic,One Year,Credit Card,2,1,Yes
CUST100147,Male,51,33,20.0,768.92,Fiber Optic,One Year,Bank Transfer,4,1,Yes
CUST100148,Male,35,18,136.56,2675.88,No Internet,One Year,Bank Transfer,2,2,Yes
CUST100149,Female,51,33,23.82,1182.26,Fiber Optic,Two Year,Bank Transfer,1,1,No
CUST100150,Male,28,32,56.19,1425.22,DSL,One Year,Credit Card,5,2,No
CUST100151,Male,58,61,73.77,4294.42,No Internet,Two Year,Bank Transfer,0,1,No
CUST100152,Male,29,54,70.61,3744.51,No Internet,One Year,Electronic Check,2,1,No
CUST100153,Male,32,17,105.19,1899.46,Fiber Optic,Month-to-Month,Credit Card,1,2,Yes
CUST100154,Male,48,19,43.26,974.82,Fiber Optic,Two Year,Credit Card,2,0,No
CUST100155,Female,46,70,82.82,5561.64,Fiber Optic,One Year,Electronic Check,1,1,No
CUST100156,Male,43,34,57.65,2035.37,No Internet,One Year,UPI,0,2,No
CUST100157,Female,35,25,83.85,1584.27,No Internet,Two Year,UPI,1,3,No
CUST100158,Male,49,68,73.06,5026.46,DSL,Month-to-Month,Credit Card,3,1,No
CUST100159,Female,39,11,77.79,850.46,DSL,Month-to-Month,Credit Card,1,2,No
CUST100160,Male,55,16,58.5,916.07,DSL,Month-to-Month,Credit Card,2,0,No
CUST100161,Male,34,61,59.7,3563.33,DSL,One Year,Electronic Check,2,2,No
CUST100162,Female,40,7,83.62,567.4,DSL,Two Year,Bank Transfer,2,1,No
CUST100163,Female,41,16,103.31,1717.28,DSL,Two Year,Electronic Check,5,3,Yes
CUST100164,Female,25,16,57.05,1244.94,DSL,Month-to-Month,Bank Transfer,0,2,No
CUST100165,Male,58,40,48.94,1700.55,Fiber Optic,One Year,Bank Transfer,4,0,No
CUST100166,Female,23,12,93.4,1066.22,DSL,Two Year,UPI,1,2,No
CUST100167,Male,22,35,74.02,2698.87,Fiber Optic,One Year,Electronic Check,4,1,No
CUST100168,Male,61,21,99.91,2086.05,Fiber Optic,Month-to-Month,Electronic Check,2,5,Yes
CUST100169,Female,46,50,47.83,2416.33,DSL,One Year,Credit Card,2,0,No
CUST100170,Female,45,43,21.62,812.34,DSL,Two Year,Electronic Check,5,1,No
CUST100171,Male,28,17,59.01,1168.24,No Internet,Two Year,Bank Transfer,2,3,No
CUST100172,Male,18,32,52.01,1229.85,Fiber Optic,One Year,Bank Transfer,2,3,No
CUST100173,Female,60,41,72.64,2779.7,DSL,Two Year,Electronic Check,1,2,No
CUST100174,Female,36,6,55.89,726.43,Fiber Optic,Month-to-Month,UPI,4,1,Yes
CUST100175,Female,26,27,97.23,2379.44,No Internet,Month-to-Month,UPI,1,0,No
CUST100176,Male,44,20,66.36,1152.79,Fiber Optic,Two Year,Credit Card,2,0,No
CUST100177,Male,51,25,79.51,1830.22,DSL,Month-to-Month,Credit Card,4,0,No
CUST100178,Male,61,66,79.73,5153.95,DSL,Month-to-Month,Bank Transfer,7,1,No
CUST100179,Male,21,9,80.85,723.79,Fiber Optic,Month-to-Month,Electronic Check,3,1,Yes
CUST100180,Male,53,53,74.28,4152.64,No Internet,One Year,Bank Transfer,6,4,Yes
CUST100181,Male,35,61,90.32,5605.0,No Internet,One Year,Bank Transfer,1,2,No
CUST100182,Female,32,38,51.13,1895.72,Fiber Optic,Month-to-Month,Electronic Check,2,1,Yes
CUST100183,Male,30,3,116.98,700.76,Fiber Optic,Two Year,Bank Transfer,3,3,Yes
CUST100184,Male,36,70,67.9,4669.55,Fiber Optic,Two Year,Bank Transfer,1,2,No
CUST100185,Male,23,55,35.65,1972.27,Fiber Optic,Month-to-Month,UPI,3,1,No
CUST100186,Female,29,1,80.64,104.49,No Internet,Month-to-Month,Credit Card,0,0,No
CUST100187,Male,54,70,49.46,3631.6,No Internet,One Year,UPI,0,0,No
CUST100188,Male,34,45,94.96,4042.98,Fiber Optic,One Year,Credit Card,2,2,No
CUST100189,Female,40,47,141.29,6435.87,Fiber Optic,Month-to-Month,Credit Card,2,0,Yes
CUST100190,Male,43,26,51.4,1524.94,DSL,Month-to-Month,Credit Card,2,1,No
CUST100191,Male,46,14,84.97,1546.54,Fiber Optic,Month-to-Month,UPI,3,3,No
CUST100192,Male,50,54,22.33,1133.0,Fiber Optic,Month-to-Month,Electronic Check,2,2,No
CUST100193,Male,44,71,88.62,6039.68,Fiber Optic,Month-to-Month,Bank Transfer,2,1,No
CUST100194,Male,42,46,48.43,1989.76,DSL,One Year,Electronic Check,3,1,No
CUST100195,Female,27,31,56.25,1950.99,DSL,One Year,Electronic Check,1,5,No
CUST100196,Female,64,59,41.96,2138.33,DSL,One Year,Credit Card,2,1,No
CUST100197,Female,40,29,96.96,2824.61,Fiber Optic,Month-to-Month,Credit Card,2,2,No
CUST100198,Male,38,17,105.22,1753.49,DSL,One Year,UPI,3,2,No
CUST100199,Male,38,14,75.7,924.72,DSL,Month-to-Month,UPI,2,2,No
CUST100200,Male,60,36,49.07,1594.85,No Internet,Month-to-Month,Bank Transfer,3,3,No
CUST100201,Female,30,58,122.69,7255.25,Fiber Optic,One Year,Electronic Check,4,0,Yes
CUST100202,Male,54,24,52.49,1415.24,No Internet,One Year,Electronic Check,5,2,No
CUST100203,Male,50,63,20.0,1493.46,No Internet,Month-to-Month,Bank Transfer,0,4,No
CUST100204,Female,41,25,88.75,2315.62,Fiber Optic,One Year,Credit Card,1,1,No
CUST100205,Male,61,59,41.86,2471.25,Fiber Optic,Two Year,UPI,3,3,No
CUST100206,Female,28,32,104.66,3381.77,No Internet,One Year,Bank Transfer,3,1,No
CUST100207,Female,34,18,63.57,1342.43,DSL,One Year,Electronic Check,2,0,No
CUST100208,Female,21,37,93.11,3103.56,No Internet,Two Year,Bank Transfer,1,0,No
CUST100209,Male,64,26,117.05,3132.09,DSL,One Year,Bank Transfer,5,2,No
CUST100210,Male,42,9,38.73,232.92,DSL,One Year,Electronic Check,0,2,Yes
CUST100211,Male,47,64,58.02,3788.51,Fiber Optic,Month-to-Month,Electronic Check,0,2,Yes
CUST100212,Male,26,20,72.73,1248.49,Fiber Optic,Month-to-Month,UPI,1,0,No
CUST100213,Male,38,54,121.13,6711.03,No Internet,One Year,UPI,2,3,No
CUST100214,Male,37,30,55.25,1775.01,Fiber Optic,One Year,Electronic Check,2,5,No
CUST100215,Male,36,53,57.16,2888.4,Fiber Optic,Month-to-Month,UPI,6,0,Yes
CUST100216,Female,36,63,89.34,5535.01,DSL,Two Year,UPI,2,4,No
CUST100217,Male,29,11,57.68,522.68,DSL,Month-to-Month,UPI,3,2,Yes
CUST100218,Female,54,31,79.58,2478.43,Fiber Optic,One Year,Electronic Check,1,1,No
CUST100219,Male,59,49,28.45,1800.0,Fiber Optic,Month-to-Month,Credit Card,1,4,Yes
CUST100220,Male,34,19,141.43,2323.63,Fiber Optic,Month-to-Month,Credit Card,1,3,No
CUST100221,Male,54,12,34.57,479.98,Fiber Optic,Two Year,UPI,2,3,No
CUST100222,Female,56,15,65.35,1066.41,DSL,Month-to-Month,Credit Card,1,3,Yes
CUST100223,Female,45,31,74.03,2188.74,Fiber Optic,Month-to-Month,UPI,3,2,No
CUST100224,Female,58,43,132.38,5357.63,No Internet,Month-to-Month,Credit Card,2,3,No
CUST100225,Female,52,37,35.25,1264.05,DSL,Month-to-Month,Credit Card,5,2,Yes
CUST100226,Male,64,29,134.51,3657.28,DSL,One Year,Bank Transfer,3,0,No
CUST100227,Female,35,26,97.72,2652.01,Fiber Optic,Two Year,UPI,5,0,No
CUST100228,Male,31,2,87.51,100.0,DSL,Month-to-Month,Credit Card,1,1,Yes
CUST100229,Male,52,15,45.46,671.89,Fiber Optic,One Year,Credit Card,3,0,No
CUST100230,Female,61,4,92.13,214.36,Fiber Optic,One Year,Bank Transfer,1,2,Yes
CUST100231,Female,58,50,53.3,2888.39,DSL,Two Year,Credit Card,2,1,No
CUST100232,Female,24,38,113.0,4607.96,Fiber Optic,Two Year,Bank Transfer,2,0,Yes
CUST100233,Female,58,23,45.87,983.19,DSL,One Year,Credit Card,0,0,No
CUST100234,Female,30,59,71.61,4014.77,Fiber Optic,Month-to-Month,Bank Transfer,2,4,No
CUST100235,Female,35,28,58.34,1968.03,Fiber Optic,Month-to-Month,Bank Transfer,1,2,Yes
CUST100236,Female,54,66,45.37,2967.15,No Internet,Month-to-Month,Electronic Check,1,2,No
CUST100237,Female,30,8,97.24,840.75,DSL,One Year,UPI,1,1,No
CUST100238,Male,53,29,91.06,2616.48,DSL,One Year,Electronic Check,3,1,No
CUST100239,Female,48,11,111.27,1182.85,DSL,One Year,UPI,5,1,No
CUST100240,Female,19,18,21.6,290.23,Fiber Optic,One Year,Credit Card,1,0,No
CUST100241,Male,33,55,106.93,5503.35,DSL,Month-to-Month,UPI,3,0,Yes
CUST100242,Female,26,50,150.16,7861.5,Fiber Optic,One Year,Electronic Check,7,1,Yes
CUST100243,Male,26,14,61.45,899.9,DSL,Month-to-Month,UPI,3,1,No
CUST100244,Male,55,9,131.85,1170.35,DSL,Month-to-Month,Electronic Check,1,0,No
CUST100245,Female,28,11,67.11,923.84,No Internet,Month-to-Month,UPI,1,3,No
CUST100246,Male,39,63,33.83,2019.39,DSL,Two Year,Credit Card,4,1,No
CUST100247,Male,50,67,65.83,4484.55,Fiber Optic,Month-to-Month,Credit Card,1,0,No
CUST100248,Male,53,53,106.45,5487.93,DSL,Two Year,UPI,1,4,No
CUST100249,Male,62,39,49.85,1875.15,Fiber Optic,Month-to-Month,UPI,2,1,Yes
CUST100250,Female,40,56,56.99,3308.32,Fiber Optic,Month-to-Month,Credit Card,8,1,Yes
CUST100251,Male,62,28,92.81,2653.66,Fiber Optic,Two Year,UPI,2,1,No
CUST100252,Female,62,39,75.09,2863.3,DSL,One Year,Bank Transfer,2,1,No
CUST100253,Male,51,25,92.54,2459.68,Fiber Optic,Month-to-Month,Credit Card,1,4,Yes
CUST100254,Male,26,21,82.13,1569.28,Fiber Optic,Month-to-Month,Credit Card,2,0,No
CUST100255,Male,41,10,89.39,711.05,No Internet,Two Year,Electronic Check,2,2,No
CUST100256,Male,25,43,62.03,2576.76,DSL,Month-to-Month,Electronic Check,3,2,Yes
CUST100257,Female,24,15,81.95,1183.16,Fiber Optic,One Year,Bank Transfer,3,2,No
CUST100258,Female,53,48,47.18,2198.15,Fiber Optic,Month-to-Month,UPI,7,1,Yes
CUST100259,Male,35,21,113.65,2301.27,DSL,Month-to-Month,Bank Transfer,2,3,Yes
CUST100260,Male,20,60,55.97,3538.93,No Internet,Month-to-Month,UPI,3,3,No
CUST100261,Female,45,50,108.87,5744.23,Fiber Optic,One Year,Electronic Check,3,2,Yes
CUST100262,Male,23,23,67.99,1537.66,DSL,One Year,UPI,1,1,No
CUST100263,Male,61,13,81.06,1172.15,DSL,Month-to-Month,Electronic Check,1,3,No
CUST100264,Male,61,69,60.15,4003.32,DSL,One Year,Credit Card,1,2,No
CUST100265,Female,38,4,44.52,159.15,No Internet,Two Year,Credit Card,3,2,Yes
CUST100266,Female,45,9,22.66,296.63,DSL,Two Year,UPI,5,3,Yes
CUST100267,Female,57,35,43.34,1348.68,No Internet,Month-to-Month,Electronic Check,5,0,Yes
CUST100268,Male,18,21,65.28,1520.86,Fiber Optic,Month-to-Month,Bank Transfer,2,1,Yes
CUST100269,Male,53,58,81.36,4573.46,DSL,Two Year,Electronic Check,0,0,No
CUST100270,Female,38,18,105.31,2099.85,DSL,Month-to-Month,Electronic Check,7,3,Yes
CUST100271,Female,60,43,61.63,2820.0,Fiber Optic,Month-to-Month,Electronic Check,2,2,Yes
CUST100272,Female,52,6,48.54,514.36,DSL,Two Year,Credit Card,1,0,No
CUST100273,Female,30,67,31.72,2330.01,Fiber Optic,Month-to-Month,Electronic Check,4,2,Yes
CUST100274,Male,27,12,89.4,1459.33,Fiber Optic,Month-to-Month,UPI,2,0,No
CUST100275,Female,61,12,116.5,1499.49,Fiber Optic,Month-to-Month,Credit Card,3,2,No
CUST100276,Male,64,66,112.99,7168.0,DSL,Two Year,Credit Card,1,2,No
CUST100277,Female,27,2,96.3,218.37,No Internet,Month-to-Month,Credit Card,3,1,Yes
CUST100278,Male,63,15,94.16,1320.87,Fiber Optic,Two Year,Electronic Check,1,1,No
CUST100279,Female,30,23,125.93,2623.43,DSL,One Year,Bank Transfer,5,1,No
CUST100280,Female,54,29,84.96,2719.6,Fiber Optic,Month-to-Month,Electronic Check,0,1,Yes
CUST100281,Female,55,7,94.38,599.42,No Internet,Month-to-Month,Electronic Check,0,0,No
CUST100282,Female,41,28,65.38,1532.5,DSL,Month-to-Month,Bank Transfer,3,1,Yes
CUST100283,Male,19,14,34.14,349.01,DSL,One Year,Electronic Check,1,1,No
CUST100284,Female,39,44,54.48,2850.13,DSL,Month-to-Month,UPI,4,1,No
CUST100285,Male,34,30,74.73,2515.38,Fiber Optic,Two Year,Bank Transfer,4,1,No
CUST100286,Male,53,32,76.82,2604.14,DSL,Month-to-Month,UPI,4,1,No
CUST100287,Male,31,70,132.79,9421.45,No Internet,Month-to-Month,UPI,1,0,No
CUST100288,Male,27,6,77.44,283.96,Fiber Optic,Month-to-Month,Credit Card,4,0,Yes
CUST100289,Female,52,27,110.37,2784.25,DSL,One Year,Credit Card,3,1,No
CUST100290,Male,42,24,61.95,1598.4,No Internet,Month-to-Month,Bank Transfer,1,0,No
CUST100291,Male,20,34,65.65,2549.79,Fiber Optic,Month-to-Month,Electronic Check,2,0,No
CUST100292,Male,64,40,35.13,1201.91,No Internet,Two Year,UPI,5,0,Yes
CUST100293,Female,55,47,52.73,2459.0,No Internet,One Year,Electronic Check,4,0,No
CUST100294,Female,34,24,90.81,2226.29,DSL,One Year,UPI,2,1,No
